종목코드,종목명,시장구분,현재가,등락률,거래량,시가총액
005380,현대차,KOSPI,185300.0,-2.98,781444.0,37941614039800.0
005385,현대차우,KOSPI,147900.0,-1.27,105653.0,3452127984000.0
005387,현대차2우B,KOSPI,147700.0,-2.31,181700.0,5164172461000.0
005389,현대차3우B,KOSPI,147500.0,-1.54,10675.0,343299170000.0
005390,신성통상,KOSPI,2975.0,8.18,1303907.0,427532460250.0
005420,코스모화학,KOSPI,13770.0,-0.79,653490.0,528881299560.0
005430,한국공항,KOSPI,53300.0,-0.93,13665.0,168766721500.0
005440,현대지에프홀딩스,KOSPI,7460.0,1.08,347324.0,1163046085460.0
005490,POSCO홀딩스,KOSPI,250000.0,-1.77,441162.0,20233238000000.0
005500,삼진제약,KOSPI,18050.0,0.45,27715.0,250895000000.0
005610,SPC삼립,KOSPI,52800.0,-0.38,15934.0,455611675200.0
005680,삼영전자,KOSPI,10900.0,-1.36,14742.0,218000000000.0
005690,파미셀,KOSPI,11740.0,-3.37,600038.0,704599157360.0
005720,넥센,KOSPI,5820.0,2.28,124471.0,311625946140.0
005725,넥센우,KOSPI,4000.0,1.01,5940.0,14402400000.0
005740,크라운해태홀딩스,KOSPI,7180.0,-3.62,640829.0,106603951460.0
005745,크라운해태홀딩스우,KOSPI,8610.0,-1.94,9640.0,5172250860.0
005750,대림바스,KOSPI,4250.0,-0.82,8579.0,70857020000.0
005800,신영와코루,KOSPI,12170.0,0.16,7184.0,109530000000.0
005810,풍산홀딩스,KOSPI,32000.0,-1.54,64744.0,461353344000.0
005820,원림,KOSPI,14780.0,0.61,2327.0,33963996600.0
005830,DB손해보험,KOSPI,100500.0,-1.08,377897.0,7115400000000.0
005850,에스엘,KOSPI,31700.0,-0.47,112246.0,1472418084000.0
005870,휴니드,KOSPI,8500.0,-1.28,206531.0,119986127500.0
005880,대한해운,KOSPI,1555.0,-1.27,1803925.0,499481472250.0
005930,삼성전자,KOSPI,56200.0,0.18,26219683.0,332683651216400.0
005935,삼성전자우,KOSPI,46100.0,-0.11,3537981.0,37616432010400.0
005940,NH투자증권,KOSPI,17240.0,-1.2,1411660.0,5645967234760.0
005945,NH투자증권우,KOSPI,15340.0,0.0,81574.0,289480649120.0
005950,이수화학,KOSPI,5430.0,0.93,12594.0,123384472770.0
005960,동부건설,KOSPI,5050.0,0.0,40842.0,115880648150.0
005965,동부건설우,KOSPI,20050.0,-0.99,118.0,4525926600.0
006040,동원산업,KOSPI,46500.0,-1.27,27362.0,1842519906000.0
006060,화승인더,KOSPI,4815.0,0.0,178433.0,266365800000.0
006090,사조오양,KOSPI,8830.0,-0.9,8462.0,83202785370.0
006110,삼아알미늄,KOSPI,19600.0,-0.05,42000.0,288353553600.0
006120,SK디스커버리,KOSPI,46850.0,-3.4,36498.0,859597006750.0
006125,SK디스커버리우,KOSPI,37650.0,-3.83,13669.0,49413930750.0
006200,한국전자홀딩스,KOSPI,706.0,0.14,62514.0,33043014016.0
006220,제주은행,KOSPI,9550.0,0.0,216005.0,360976219350.0
006260,LS,KOSPI,159300.0,-1.18,238607.0,5129460000000.0
006280,녹십자,KOSPI,127200.0,1.52,37540.0,1486527633600.0
006340,대원전선,KOSPI,2895.0,-0.69,976473.0,217064711625.0
006345,대원전선우,KOSPI,3900.0,-1.39,13112.0,10222680000.0
006360,GS건설,KOSPI,22650.0,-2.58,1188038.0,1938420748500.0
006370,대구백화점,KOSPI,7540.0,4.29,119994.0,81594946940.0
006380,카프로,KOSPI,3660.0,0.0,0.0,618539985360.0
006390,한일현대시멘트,KOSPI,15920.0,-1.12,37738.0,307696538240.0
